M2, ADC,
532,48178,
533,48207,
534,48185,
535,48160,
536,48254,
537,48149,
538,48121,
539,48155,
540,48179,
541,48323,
542,48146,
543,48177,
544,48150,
545,48222,
546,48149,
547,48158,
548,48211,
549,48201,
550,48138,
551,48188,
552,48177,
553,48175,
554,48226,
555,48097,
556,48168,
557,48140,
558,48238,
559,48194,
560,48137,
561,48112,
562,48148,
563,48141,
564,48140,
565,48165,
566,48175,
567,48219,
568,48231,
569,48168,
570,48148,
571,48183,
572,48147,
573,48265,
574,48165,
575,48156,
576,48117,
577,48184,
578,48143,
579,48192,
580,48156,
581,48165,
582,48167,
583,48179,
584,48164,
585,48195,
586,48145,
587,48223,
588,48144,
589,48141,
590,48132,
591,48223,
592,48178,
593,48178,
594,48152,
595,48137,
596,48129,
597,48147,
598,48216,
599,48178,
600,48202,
601,48127,
602,48208,
603,48228,
604,48204,
605,48146,
606,48137,
607,48165,
608,48186,
609,48205,
610,48182,
611,48149,
612,48129,
613,48167,
614,48128,
615,48221,
616,48199,
617,48192,
618,48201,
619,48179,
620,48202,
621,48173,
622,48131,
623,48193,
624,48162,
625,48134,
626,48247,
627,48216,
628,48297,
629,48160,
630,48153,
631,48141,
632,48125,
633,48143,
634,48144,
635,48174,
636,48263,
637,48179,
638,48192,
639,48167,
640,48150,
641,48204,
642,48160,
643,48125,
644,48186,
645,48242,
646,48205,
647,48190,
648,48234,
649,48186,
650,48133,
651,48128,
652,48166,
653,48149,
654,48261,
655,48183,
656,48216,
657,48187,
658,48165,
659,48166,
660,48169,
661,48204,
662,48194,
663,48314,
664,48219,
665,48174,
666,48138,
667,48201,
668,48232,
669,48175,
670,48168,
671,48200,
672,48220,
673,48131,
674,48228,
675,48114,
676,48156,
677,48161,
678,48170,
679,48177,
680,48201,
681,48171,
682,48147,
683,48134,
684,48181,
685,48127,
686,48183,
687,48231,
688,48168,
689,48174,
690,48217,
691,48169,
692,48176,
693,48173,
694,48204,
695,48190,
696,48176,
697,48243,
698,48174,
699,48146,
700,48202,
701,48131,
702,48232,
703,48260,
