M4, ADC
0, 48320
1, 48205
2, 48267
3, 48279
4, 48164
5, 48236
6, 48174
7, 48248
8, 48158
9, 48240
10, 48155
11, 48158
12, 48159
13, 48158
14, 48307
15, 48205
16, 48177
17, 48164
18, 48149
19, 48158
20, 48245
21, 48237
22, 48228
23, 48206
24, 48143
25, 48255
26, 48172
27, 48177
28, 48216
29, 48206
30, 48146
31, 48165
32, 48227
33, 48282
34, 48247
35, 48274
36, 48264
37, 48256
38, 48144
39, 48243
40, 48141
41, 48167
42, 48179
43, 48142
44, 48285
45, 48172
46, 48245
47, 48212
48, 48249
49, 48189
50, 48183
51, 48161
52, 48194
53, 48283
54, 48190
55, 48156
56, 48255
57, 48234
58, 48160
59, 48212
60, 48202
61, 48213
62, 48275
63, 48145
64, 48184
65, 48217
66, 48205
67, 48180
68, 48238
69, 48181
70, 48155
71, 48167
72, 48201
73, 48209
74, 48151
75, 48265
76, 48153
77, 48188
78, 48178
79, 48185
80, 48141
81, 48178
82, 48225
83, 48197
84, 48157
85, 48163
86, 48191
87, 48187
88, 48280
89, 48239
90, 48182
91, 48175
92, 48121
93, 48224
94, 48170
95, 48158
96, 48208
97, 48170
98, 48264
99, 48164
100, 48178
101, 48266
102, 48175
103, 48172
104, 48165
105, 48201
106, 48169
107, 48237
108, 48163
109, 48183
110, 48182
111, 48169
112, 48226
113, 48246
114, 48175
115, 48196
116, 48144
117, 48189
118, 48210
119, 48248
120, 48175
121, 48171
122, 48212
123, 48196
124, 48197
125, 48182
126, 48163
127, 48165
128, 48200
129, 48274
130, 48158
131, 48170
132, 48235
133, 48172
134, 48156
135, 48165
136, 48169
137, 48216
138, 48167
139, 48134
140, 48141
141, 48213
142, 48272
143, 48146
144, 48114
145, 48163
146, 48148
147, 48133
148, 48168
149, 48169
150, 48156
151, 48234
152, 48166
153, 48198
154, 48199
155, 48191
156, 48141
157, 48146
158, 48221
159, 48224
160, 48191
161, 48254
162, 48162
163, 48200
164, 48174
165, 48233
166, 48170
167, 48125
168, 48250
169, 48161
170, 48159
171, 48192
172, 48148
173, 48242
174, 48140
175, 48229
176, 48131
177, 48197
178, 48199
179, 48150
180, 48166
181, 48227
182, 48256
183, 48166
184, 48367
185, 48223
186, 48208
187, 48152
188, 48239
189, 48164
190, 48132
191, 48150
192, 48180
193, 48203
194, 48210
195, 48177
196, 48131
197, 48204
198, 48153
199, 48164
200, 48132
201, 48246
202, 48245
203, 48154
204, 48182
205, 48170
206, 48187
207, 48215
208, 48110
209, 48179
210, 48200
211, 48165
212, 48203
213, 48206
214, 48169
215, 48131
216, 48237
217, 48214
218, 48167
219, 48262
220, 48153
221, 48167
222, 48228
223, 48236
224, 48154
225, 48141
226, 48107
227, 48248
228, 48210
229, 48155
230, 48152
231, 48229
232, 48161
233, 48174
234, 48148
235, 48157
236, 48213
237, 48223
238, 48138
239, 48180
240, 48165
241, 48157
242, 48192
243, 48216
244, 48263
245, 48149
246, 48192
247, 48143
248, 48209
249, 48242
250, 48163
251, 48171
252, 48254
253, 48204
254, 48198
255, 48231
256, 48201
257, 48164
258, 48200
259, 48231
260, 48166
261, 48191
262, 48240
263, 48131
264, 48232
265, 48252
266, 48126
267, 48140
268, 48114
269, 48170
270, 48173
271, 48252
272, 48258
273, 48128
274, 48241
275, 48130
276, 48132
277, 48160
278, 48179
279, 48270
280, 48157
281, 48172
282, 48215
283, 48190
284, 48153
285, 48138
286, 48183
287, 48166
288, 48174
289, 48149
290, 48161
291, 48164
292, 48181
293, 48218
294, 48136
295, 48161
296, 48241
297, 48324
298, 48176
299, 48222
300, 48143
301, 48142
302, 48117
303, 48137
304, 48265
305, 48285
306, 48191
307, 48112
308, 48180
309, 48155
310, 48121
311, 48234
312, 48139
313, 48144
314, 48216
315, 48148
316, 48166
317, 48204
318, 48183
319, 48255
320, 48197
321, 48211
322, 48204
323, 48173
324, 48251
325, 48172
326, 48118
327, 48157
328, 48167
329, 48174
330, 48194
331, 48181
332, 48162
333, 48136
334, 48204
335, 48170
336, 48135
337, 48138
338, 48168
339, 48156
340, 48265
341, 48151
342, 48117
343, 48181
344, 48136
345, 48129
346, 48125
347, 48136
348, 48244
349, 48187
350, 48197
351, 48132
352, 48139
353, 48157
354, 48204
355, 48140
356, 48139
357, 48165
358, 48187
359, 48137
360, 48152
361, 48148
362, 48129
363, 48200
364, 48206
365, 48147
366, 48201
367, 48215
368, 48154
369, 48166
370, 48171
371, 48193
372, 48206
373, 48209
374, 48136
375, 48215
376, 48211
377, 48145
378, 48183
379, 48210
380, 48211
381, 48171
382, 48162
383, 48188
384, 48206
385, 48154
386, 48190
387, 48162
388, 48140
389, 48135
390, 48242
391, 48151
392, 48176
393, 48223
394, 48195
395, 48200
396, 48177
397, 48143
398, 48136
399, 48134
400, 48160
401, 48171
402, 48301
403, 48186
404, 48172
405, 48204
406, 48171
407, 48172
408, 48181
409, 48148
410, 48166
411, 48132
412, 48213
413, 48145
414, 48194
415, 48118
416, 48113
417, 48132
418, 48163
419, 48185
420, 48218
421, 48193
422, 48156
423, 48188
424, 48143
425, 48176
426, 48154
427, 48198
428, 48195
429, 48131
430, 48244
431, 48167
432, 48157
433, 48191
434, 48154
435, 48203
436, 48185
437, 48238
438, 48127
439, 48167
440, 48156
441, 48192
442, 48168
443, 48183
444, 48181
445, 48267
446, 48177
447, 48157
448, 48133
449, 48137
450, 48116
451, 48175
452, 48183
453, 48213
454, 48194
455, 48186
456, 48214
457, 48167
458, 48156
459, 48191
460, 48237
461, 48139
462, 48196
463, 48140
464, 48205
465, 48163
466, 48182
467, 48168
468, 48230
469, 48172
470, 48228
471, 48222
472, 48187
473, 48177
474, 48124
475, 48097
476, 48135
477, 48189
478, 48184
479, 48151
480, 48284
481, 48174
482, 48193
483, 48240
484, 48245
485, 48146
486, 48147
487, 48190
488, 48260
489, 48185
490, 48168
491, 48160
492, 48139
493, 48137
494, 48163
495, 48167
496, 48193
497, 48195
498, 48202
499, 48207
500, 48176
501, 48267
502, 48265
503, 48146
504, 48271
505, 48197
506, 48300
507, 48223
508, 48147
509, 48186
510, 48248
511, 48141
512, 48228
513, 48161
514, 48218
515, 48201
516, 48206
517, 48170
518, 48206
519, 48188
520, 48149
521, 48186
522, 48148
523, 48196
524, 48147
525, 48195
526, 48209
527, 48155
528, 48149
529, 48149
530, 48190
531, 48166
532, 48298
533, 48129
534, 48140
535, 48123
536, 48191
537, 48138
538, 48200
539, 48140
540, 48192
541, 48229
542, 48204
543, 48236
544, 48159
545, 48218
546, 48126
547, 48216
548, 48150
549, 48185
550, 48119
551, 48218
552, 48189
553, 48120
554, 48166
555, 48195
556, 48180
557, 48125
558, 48182
559, 48181
560, 48181
561, 48126
562, 48142
563, 48153
564, 48220
565, 48160
566, 48159
567, 48140
568, 48272
569, 48142
570, 48132
571, 48213
572, 48213
573, 48149
574, 48145
575, 48233
576, 48147
577, 48199
578, 48194
579, 48159
580, 48147
581, 48210
582, 48185
583, 48172
584, 48167
585, 48134
586, 48171
587, 48186
588, 48146
589, 48207
590, 48213
591, 48212
592, 48130
593, 48139
594, 48123
595, 48124
596, 48192
597, 48174
598, 48182
599, 48136
600, 48169
601, 48168
602, 48191
603, 48126
604, 48162
605, 48111
606, 48111
607, 48146
608, 48095
609, 48170
610, 48256
611, 48136
612, 48178
613, 48162
614, 48137
615, 48132
616, 48172
617, 48116
618, 48206
619, 48210
620, 48131
621, 48151
622, 48195
623, 48149
624, 48137
625, 48199
626, 48128
627, 48209
628, 48253
629, 48128
630, 48171
631, 48160
632, 48181
633, 48169
634, 48143
635, 48153
