M4, ADC
636, 48189
637, 48169
638, 48141
639, 48202
640, 48190
641, 48136
642, 48127
643, 48104
644, 48166
645, 48160
646, 48149
647, 48153
648, 48141
649, 48156
650, 48130
651, 48190
652, 48157
653, 48183
654, 48192
655, 48142
656, 48121
657, 48165
658, 48170
659, 48186
660, 48147
661, 48160
662, 48267
663, 48176
664, 48186
665, 48170
666, 48176
667, 48199
668, 48157
669, 48122
670, 48178
671, 48258
672, 48210
673, 48114
674, 48165
675, 48144
676, 48153
677, 48128
678, 48173
679, 48156
680, 48164
681, 48151
682, 48244
683, 48183
684, 48151
685, 48253
686, 48174
687, 48251
688, 48214
689, 48270
690, 48186
691, 48129
692, 48164
693, 48175
694, 48232
695, 48153
696, 48140
697, 48130
698, 48134
699, 48161
700, 48209
701, 48177
702, 48173
703, 48174
704, 48144
705, 48160
706, 48226
707, 48273
708, 48186
709, 48127
710, 48225
711, 48155
712, 48224
713, 48167
714, 48182
715, 48261
716, 48169
717, 48158
718, 48219
719, 48216
720, 48213
721, 48150
722, 48150
723, 48121
724, 48175
725, 48172
726, 48142
727, 48210
728, 48126
729, 48147
730, 48146
731, 48201
732, 48158
733, 48158
734, 48169
735, 48179
736, 48164
737, 48231
738, 48142
739, 48133
740, 48127
741, 48166
742, 48217
743, 48258
744, 48131
745, 48155
746, 48172
747, 48215
748, 48261
749, 48172
750, 48214
751, 48193
752, 48218
753, 48152
754, 48180
755, 48242
756, 48137
757, 48167
758, 48161
759, 48176
760, 48160
761, 48161
762, 48115
763, 48219
764, 48125
765, 48138
766, 48176
767, 48161
768, 48250
769, 48256
770, 48211
771, 48140
772, 48217
773, 48202
774, 48171
775, 48135
776, 48267
777, 48349
778, 48138
779, 48095
780, 48128
781, 48167
782, 48170
783, 48170
784, 48206
785, 48180
786, 48146
787, 48143
788, 48122
789, 48127
790, 48259
791, 48167
792, 48194
793, 48213
794, 48296
795, 48174
796, 48135
797, 48136
798, 48185
