M1, ADC,
0,48255,
1,48289,
2,48288,
3,48182,
4,48141,
5,48184,
6,48197,
7,48163,
8,48187,
9,48246,
10,48167,
11,48236,
12,48230,
13,48163,
14,48196,
15,48244,
16,48139,
17,48240,
18,48255,
19,48231,
20,48289,
21,48198,
22,48279,
23,48168,
24,48174,
25,48239,
26,48183,
27,48274,
28,48143,
29,48167,
30,48235,
31,48226,
32,48198,
33,48162,
34,48243,
35,48279,
36,48180,
37,48152,
38,48222,
39,48281,
40,48193,
41,48163,
42,48202,
43,48160,
44,48235,
45,48211,
46,48153,
47,48227,
48,48182,
49,48244,
50,48170,
51,48167,
52,48209,
53,48231,
54,48151,
55,48169,
56,48164,
57,48170,
58,48148,
59,48241,
60,48178,
61,48193,
62,48254,
63,48166,
64,48180,
65,48258,
66,48171,
67,48156,
68,48181,
69,48196,
70,48212,
71,48230,
72,48179,
73,48247,
74,48195,
75,48206,
76,48165,
77,48213,
78,48153,
79,48214,
80,48175,
81,48217,
82,48237,
83,48189,
84,48146,
85,48159,
86,48151,
87,48135,
88,48217,
89,48158,
90,48177,
91,48185,
92,48171,
93,48162,
94,48167,
95,48244,
96,48179,
97,48157,
98,48178,
99,48139,
100,48187,
101,48186,
102,48212,
103,48166,
104,48169,
105,48243,
106,48181,
107,48144,
108,48156,
109,48280,
110,48156,
111,48164,
112,48176,
113,48164,
114,48174,
115,48203,
116,48191,
117,48191,
118,48248,
119,48126,
120,48182,
121,48240,
122,48220,
123,48230,
124,48226,
125,48175,
126,48309,
127,48188,
128,48208,
129,48232,
130,48158,
131,48204,
132,48210,
133,48187,
134,48163,
135,48206,
136,48126,
137,48143,
138,48190,
139,48174,
140,48300,
141,48256,
142,48151,
143,48154,
144,48182,
145,48176,
146,48222,
147,48162,
148,48180,
149,48213,
150,48277,
151,48199,
152,48201,
153,48155,
154,48178,
155,48146,
156,48197,
157,48102,
158,48162,
159,48160,
160,48125,
161,48274,
162,48258,
163,48151,
164,48195,
165,48162,
166,48270,
167,48190,
168,48180,
169,48211,
170,48207,
171,48150,
172,48160,
173,48137,
174,48148,
175,48185,
176,48138,
