M1, ADC,
177,48213,
178,48187,
179,48171,
180,48161,
181,48128,
182,48222,
183,48141,
184,48161,
185,48186,
186,48146,
187,48158,
188,48178,
189,48156,
190,48153,
191,48187,
192,48310,
193,48142,
194,48196,
195,48189,
196,48177,
197,48184,
198,48197,
199,48153,
200,48145,
201,48302,
202,48173,
203,48139,
204,48228,
205,48126,
206,48230,
207,48211,
208,48156,
209,48194,
210,48271,
211,48138,
212,48168,
213,48143,
214,48148,
215,48157,
216,48222,
217,48230,
218,48166,
219,48154,
220,48184,
221,48240,
222,48123,
223,48134,
224,48200,
225,48134,
226,48149,
227,48145,
228,48347,
229,48142,
230,48166,
231,48156,
232,48149,
233,48153,
234,48184,
235,48156,
236,48156,
237,48136,
238,48174,
239,48200,
240,48154,
241,48178,
242,48238,
243,48186,
244,48230,
245,48269,
246,48169,
247,48226,
248,48148,
249,48256,
250,48166,
251,48133,
252,48122,
253,48231,
254,48170,
255,48142,
256,48162,
257,48153,
258,48159,
259,48137,
260,48198,
261,48150,
262,48309,
263,48124,
264,48142,
265,48156,
266,48168,
267,48224,
268,48173,
269,48138,
270,48202,
271,48134,
272,48152,
273,48164,
274,48130,
275,48156,
276,48158,
277,48160,
278,48160,
279,48202,
280,48198,
281,48150,
282,48159,
283,48163,
284,48160,
285,48148,
286,48162,
287,48152,
288,48168,
289,48178,
290,48251,
291,48132,
292,48232,
293,48174,
294,48148,
295,48132,
296,48185,
297,48155,
298,48199,
299,48169,
300,48240,
301,48151,
302,48168,
303,48177,
304,48185,
305,48219,
306,48186,
307,48199,
308,48155,
309,48133,
310,48132,
311,48151,
312,48154,
313,48209,
314,48215,
315,48256,
316,48164,
317,48165,
318,48253,
319,48158,
320,48130,
321,48241,
322,48180,
323,48203,
324,48205,
325,48170,
326,48124,
327,48206,
328,48138,
329,48149,
330,48145,
331,48285,
332,48169,
333,48216,
334,48197,
335,48182,
336,48232,
337,48258,
338,48149,
339,48121,
340,48243,
341,48093,
342,48127,
343,48272,
344,48148,
345,48213,
346,48228,
347,48234,
348,48176,
349,48217,
350,48153,
351,48240,
352,48124,
353,48158,
354,48253,
355,48191,
356,48199,
357,48225,
358,48259,
359,48133,
360,48164,
361,48214,
362,48245,
363,48172,
364,48173,
365,48161,
366,48233,
367,48195,
368,48182,
369,48152,
370,48156,
371,48140,
372,48141,
373,48169,
374,48152,
375,48238,
376,48202,
377,48213,
378,48199,
379,48188,
380,48287,
381,48141,
382,48144,
383,48185,
384,48207,
385,48184,
386,48126,
387,48145,
388,48151,
389,48166,
390,48170,
391,48142,
392,48201,
393,48232,
394,48171,
395,48127,
396,48174,
397,48179,
398,48152,
399,48135,
400,48153,
401,48167,
402,48144,
403,48236,
404,48201,
405,48131,
406,48156,
407,48188,
408,48199,
409,48228,
410,48246,
411,48165,
412,48130,
413,48202,
414,48150,
415,48202,
416,48156,
417,48184,
418,48161,
419,48262,
420,48164,
421,48239,
422,48157,
423,48172,
424,48194,
425,48174,
426,48215,
427,48148,
428,48188,
429,48134,
430,48197,
431,48154,
432,48121,
433,48174,
434,48141,
435,48170,
436,48249,
437,48224,
438,48145,
439,48204,
440,48162,
441,48135,
442,48172,
443,48164,
444,48161,
445,48175,
446,48271,
447,48208,
448,48115,
449,48184,
450,48132,
451,48222,
452,48256,
453,48236,
454,48221,
455,48182,
456,48235,
457,48116,
458,48165,
459,48166,
460,48161,
461,48159,
462,48150,
463,48167,
464,48173,
465,48150,
466,48219,
467,48128,
468,48193,
469,48258,
470,48197,
471,48227,
472,48221,
473,48142,
474,48166,
475,48213,
476,48210,
477,48149,
478,48166,
479,48170,
480,48163,
481,48216,
482,48199,
483,48183,
484,48166,
485,48233,
486,48206,
487,48192,
488,48171,
489,48221,
490,48226,
491,48122,
492,48158,
493,48184,
494,48182,
495,48134,
496,48174,
497,48163,
498,48253,
499,48263,
500,48228,
501,48223,
502,48193,
503,48219,
504,48188,
505,48146,
506,48222,
507,48124,
508,48123,
509,48244,
510,48172,
511,48229,
512,48219,
513,48206,
514,48225,
515,48131,
516,48160,
517,48137,
518,48154,
519,48213,
520,48196,
521,48247,
522,48233,
523,48262,
524,48137,
525,48223,
526,48234,
527,48178,
528,48135,
529,48160,
530,48217,
531,48145,
532,48211,
533,48193,
534,48206,
535,48145,
536,48186,
537,48200,
538,48141,
539,48162,
540,48217,
541,48264,
542,48124,
543,48162,
544,48154,
545,48150,
546,48177,
547,48142,
548,48203,
549,48215,
550,48244,
551,48210,
552,48180,
553,48194,
554,48155,
555,48161,
556,48198,
557,48147,
558,48196,
559,48142,
560,48139,
561,48152,
562,48147,
563,48214,
564,48171,
565,48128,
566,48308,
567,48238,
568,48248,
569,48198,
570,48222,
571,48186,
572,48150,
573,48215,
574,48214,
575,48141,
576,48213,
577,48164,
578,48161,
579,48204,
580,48157,
581,48156,
582,48169,
583,48159,
584,48153,
585,48139,
586,48156,
587,48172,
588,48157,
589,48158,
590,48193,
591,48182,
592,48125,
593,48151,
594,48128,
595,48145,
596,48145,
597,48189,
598,48178,
599,48140,
600,48172,
601,48137,
602,48119,
603,48223,
604,48194,
605,48192,
606,48132,
607,48143,
608,48109,
609,48158,
610,48243,
611,48183,
612,48227,
613,48164,
614,48221,
615,48196,
616,48188,
617,48119,
618,48210,
619,48181,
620,48165,
621,48164,
622,48131,
623,48167,
624,48230,
625,48159,
626,48225,
627,48157,
628,48174,
629,48211,
630,48159,
631,48111,
632,48177,
633,48134,
634,48242,
635,48151,
636,48190,
637,48233,
638,48130,
639,48226,
640,48207,
641,48149,
642,48138,
643,48197,
644,48151,
645,48188,
646,48186,
647,48178,
648,48195,
649,48164,
650,48201,
651,48207,
652,48139,
653,48169,
654,48180,
655,48183,
656,48269,
657,48167,
658,48166,
659,48141,
660,48165,
661,48187,
662,48245,
663,48235,
664,48227,
665,48140,
666,48145,
667,48252,
668,48127,
669,48144,
670,48138,
671,48186,
672,48245,
673,48145,
674,48171,
675,48154,
676,48147,
677,48147,
678,48227,
679,48179,
680,48170,
681,48156,
682,48160,
683,48126,
684,48147,
685,48172,
686,48117,
687,48170,
688,48141,
689,48182,
690,48159,
691,48189,
692,48178,
693,48124,
694,48131,
695,48200,
696,48133,
697,48184,
698,48119,
699,48258,
700,48148,
701,48149,
702,48131,
703,48206,
704,48157,
705,48181,
706,48164,
707,48181,
708,48177,
709,48153,
710,48190,
711,48135,
712,48123,
713,48149,
714,48145,
715,48156,
716,48247,
717,48217,
718,48110,
719,48169,
720,48215,
721,48202,
722,48146,
723,48180,
724,48182,
725,48160,
726,48212,
727,48206,
728,48244,
729,48136,
730,48122,
731,48129,
732,48132,
733,48135,
734,48132,
735,48193,
736,48207,
737,48206,
738,48167,
739,48160,
740,48175,
741,48166,
742,48140,
743,48102,
744,48254,
745,48092,
746,48197,
747,48195,
748,48125,
749,48202,
750,48275,
751,48119,
752,48171,
753,48190,
754,48137,
755,48127,
756,48172,
757,48164,
758,48165,
759,48278,
760,48118,
761,48219,
762,48138,
763,48238,
764,48164,
765,48225,
766,48142,
767,48264,
768,48223,
769,48170,
770,48184,
771,48150,
772,48150,
773,48175,
774,48160,
775,48167,
776,48152,
777,48203,
778,48149,
779,48158,
780,48154,
781,48141,
782,48192,
783,48179,
784,48220,
785,48157,
786,48151,
787,48204,
788,48246,
789,48126,
790,48186,
791,48171,
792,48200,
793,48136,
794,48270,
795,48197,
796,48164,
797,48189,
798,48226,48182.27785
