M1, ADC,
532,6344,
533,6335,
534,6346,
535,6345,
536,6345,
537,6337,
538,6339,
539,6336,
540,6342,
541,6349,
542,6342,
543,6340,
544,6339,
545,6340,
546,6345,
547,6338,
548,6339,
549,6340,
550,6342,
551,6346,
552,6347,
553,6337,
554,6340,
555,6337,
556,6344,
557,6345,
558,6345,
559,6342,
560,6336,
561,6345,
562,6345,
563,6346,
564,6340,
565,6339,
566,6337,
567,6346,
568,6345,
569,6339,
570,6337,
571,6340,
572,6343,
573,6351,
574,6338,
575,6338,
576,6336,
577,6340,
578,6347,
579,6344,
580,6334,
581,6337,
582,6344,
583,6344,
584,6344,
585,6340,
586,6337,
587,6338,
588,6344,
589,6345,
590,6342,
591,6339,
592,6341,
593,6347,
594,6347,
595,6345,
596,6338,
597,6337,
598,6342,
599,6346,
600,6349,
601,6335,
602,6340,
603,6342,
604,6346,
605,6345,
606,6341,
607,6337,
608,6338,
609,6342,
610,6346,
611,6348,
612,6337,
613,6339,
614,6340,
615,6342,
616,6343,
617,6338,
618,6342,
619,6343,
620,6348,
621,6347,
622,6341,
623,6337,
624,6345,
625,6346,
626,6350,
627,6340,
628,6338,
629,6332,
630,6341,
631,6346,
632,6346,
633,6346,
634,6341,
635,6341,
636,6342,
637,6345,
638,6345,
639,6340,
640,6339,
641,6340,
642,6343,
643,6341,
644,6339,
645,6338,
646,6347,
647,6344,
648,6347,
649,6341,
650,6341,
651,6343,
652,6342,
653,6350,
654,6339,
655,6338,
656,6339,
657,6346,
658,6343,
659,6345,
660,6339,
661,6338,
662,6341,
663,6340,
664,6339,
665,6338,
666,6337,
667,6344,
668,6343,
669,6341,
670,6341,
671,6340,
672,6341,
673,6349,
674,6342,
675,6344,
676,6341,
677,6337,
678,6347,
679,6349,
680,6348,
681,6344,
682,6337,
683,6343,
684,6350,
685,6345,
686,6341,
687,6339,
688,6340,
689,6341,
690,6345,
691,6338,
692,6339,
693,6343,
694,6345,
695,6341,
696,6349,
697,6338,
698,6337,
699,6345,
700,6346,
701,6349,
702,6343,
703,6340,
704,6340,
705,6345,
706,6343,
707,6346,
708,6339,
709,6339,
710,6342,
711,6347,
712,6340,
713,6342,
714,6334,
715,6344,
716,6343,
717,6347,
718,6335,
719,6332,
720,6339,
721,6344,
722,6346,
723,6338,
724,6335,
725,6336,
726,6344,
727,6346,
728,6340,
729,6343,
730,6339,
731,6342,
732,6348,
733,6347,
734,6341,
735,6339,
736,6341,
737,6344,
738,6345,
739,6340,
740,6335,
