M5, ADC
532, 48294
533, 48145
534, 48254
535, 48199
536, 48223
537, 48184
538, 48139
539, 48231
540, 48198
541, 48220
542, 48246
543, 48159
544, 48160
545, 48142
546, 48181
547, 48122
548, 48138
549, 48248
550, 48199
551, 48219
552, 48156
553, 48126
554, 48129
555, 48190
556, 48212
557, 48133
558, 48122
559, 48171
560, 48188
561, 48198
562, 48228
563, 48166
564, 48136
565, 48153
566, 48256
567, 48188
568, 48118
569, 48173
570, 48149
571, 48182
572, 48229
573, 48176
574, 48144
575, 48235
576, 48300
577, 48226
578, 48181
579, 48191
580, 48162
581, 48171
582, 48179
583, 48183
584, 48144
585, 48124
586, 48123
587, 48137
588, 48116
589, 48155
590, 48112
591, 48214
592, 48195
593, 48112
594, 48169
595, 48125
596, 48179
597, 48127
598, 48182
599, 48154
600, 48154
601, 48195
602, 48200
603, 48139
604, 48181
605, 48141
606, 48164
607, 48193
608, 48103
609, 48142
610, 48226
611, 48144
612, 48205
613, 48210
614, 48115
615, 48138
616, 48207
617, 48210
618, 48256
619, 48209
620, 48197
621, 48158
622, 48154
623, 48179
624, 48160
625, 48137
626, 48189
627, 48277
628, 48175
629, 48168
630, 48221
631, 48170
632, 48140
633, 48163
634, 48137
635, 48154
636, 48196
637, 48222
638, 48186
639, 48136
640, 48144
641, 48146
642, 48174
643, 48217
644, 48165
645, 48162
646, 48194
647, 48153
648, 48173
649, 48164
650, 48161
651, 48142
652, 48222
653, 48165
654, 48201
655, 48135
656, 48133
657, 48191
658, 48241
659, 48237
660, 48153
661, 48254
662, 48229
663, 48164
664, 48144
665, 48185
666, 48131
667, 48203
668, 48187
669, 48165
670, 48146
671, 48267
672, 48133
673, 48198
674, 48150
675, 48143
676, 48182
677, 48242
678, 48200
679, 48176
680, 48157
681, 48161
682, 48123
683, 48236
684, 48130
685, 48146
686, 48182
687, 48183
688, 48197
689, 48238
690, 48189
691, 48218
692, 48209
693, 48111
694, 48126
695, 48125
696, 48129
697, 48158
698, 48220
699, 48209
700, 48160
701, 48193
702, 48141
703, 48189
704, 48149
705, 48210
706, 48237
707, 48291
708, 48116
709, 48197
710, 48186
711, 48244
712, 48246
713, 48117
714, 48135
715, 48253
716, 48136
717, 48206
718, 48151
719, 48173
720, 48147
721, 48149
722, 48157
723, 48198
724, 48196
725, 48153
726, 48165
727, 48183
728, 48131
729, 48172
730, 48164
731, 48159
732, 48180
733, 48145
734, 48122
735, 48149
736, 48174
737, 48176
738, 48129
739, 48162
740, 48225
741, 48234
742, 48123
743, 48161
744, 48191
745, 48195
746, 48134
747, 48151
748, 48161
749, 48153
750, 48233
751, 48149
752, 48116
753, 48262
754, 48213
755, 48194
756, 48144
757, 48168
758, 48115
759, 48263
760, 48132
761, 48196
762, 48128
763, 48194
764, 48122
765, 48149
766, 48225
767, 48187
768, 48189
769, 48202
770, 48176
771, 48133
772, 48238
773, 48131
774, 48125
775, 48149
776, 48197
777, 48261
778, 48259
779, 48220
780, 48122
781, 48158
782, 48161
783, 48172
784, 48184
785, 48190
786, 48181
787, 48164
788, 48189
789, 48245
790, 48204
791, 48219
792, 48203
793, 48166
794, 48217
795, 48203
796, 48154
797, 48208
798, 48202
