M6, ADC
0, 48210
1, 48235
2, 48209
3, 48142
4, 48168
5, 48262
6, 48180
7, 48157
8, 48175
9, 48282
10, 48160
11, 48162
12, 48249
13, 48209
14, 48203
15, 48141
16, 48188
17, 48207
18, 48240
19, 48233
20, 48272
21, 48299
22, 48221
23, 48261
24, 48176
25, 48201
26, 48165
27, 48161
28, 48200
29, 48256
30, 48226
31, 48162
32, 48191
33, 48181
34, 48216
35, 48289
36, 48198
37, 48234
38, 48222
39, 48223
40, 48157
41, 48152
42, 48229
43, 48156
44, 48157
45, 48167
46, 48167
47, 48148
48, 48206
49, 48154
50, 48190
51, 48171
52, 48267
53, 48248
54, 48232
55, 48233
56, 48153
57, 48159
58, 48218
59, 48164
60, 48262
61, 48294
62, 48149
63, 48162
64, 48167
65, 48195
66, 48148
67, 48260
68, 48163
69, 48169
70, 48157
71, 48192
72, 48219
73, 48189
74, 48145
75, 48212
76, 48234
77, 48149
78, 48190
79, 48175
80, 48219
81, 48266
82, 48158
83, 48209
84, 48136
85, 48182
86, 48144
87, 48311
88, 48339
89, 48164
90, 48137
91, 48188
92, 48232
93, 48153
94, 48187
95, 48204
96, 48308
97, 48252
98, 48178
99, 48176
100, 48179
101, 48176
102, 48157
103, 48230
104, 48253
105, 48243
106, 48152
107, 48227
108, 48223
109, 48270
110, 48175
111, 48232
112, 48170
113, 48229
114, 48216
115, 48201
116, 48150
117, 48237
118, 48180
119, 48178
120, 48178
121, 48206
122, 48242
123, 48154
124, 48217
125, 48187
126, 48135
127, 48177
128, 48222
129, 48226
130, 48206
131, 48341
132, 48164
133, 48210
134, 48192
135, 48216
136, 48140
137, 48196
138, 48174
139, 48149
140, 48298
141, 48135
142, 48172
143, 48189
144, 48216
145, 48169
146, 48237
147, 48244
148, 48111
149, 48239
150, 48106
151, 48145
152, 48213
153, 48217
154, 48185
155, 48188
156, 48118
157, 48157
158, 48231
159, 48186
160, 48137
161, 48192
162, 48155
163, 48219
164, 48205
165, 48157
166, 48203
167, 48150
168, 48222
169, 48145
170, 48256
171, 48154
172, 48158
173, 48164
174, 48162
175, 48227
176, 48162
177, 48224
178, 48154
179, 48191
180, 48200
