M3, ADC
549, 48243
550, 48179
551, 48172
552, 48162
553, 48110
554, 48142
555, 48187
556, 48231
557, 48121
558, 48158
559, 48204
560, 48198
561, 48176
562, 48117
563, 48197
564, 48146
565, 48145
566, 48197
567, 48213
568, 48180
569, 48127
570, 48253
571, 48127
572, 48154
573, 48150
574, 48159
575, 48210
576, 48224
577, 48233
578, 48181
579, 48218
580, 48224
581, 48248
582, 48205
583, 48186
584, 48217
585, 48198
586, 48258
587, 48163
588, 48176
589, 48119
590, 48195
591, 48175
592, 48214
593, 48230
594, 48189
595, 48127
596, 48135
597, 48135
598, 48163
599, 48158
600, 48235
601, 48190
602, 48237
603, 48174
604, 48169
605, 48152
606, 48144
607, 48228
608, 48166
609, 48197
610, 48197
611, 48240
612, 48093
613, 48187
614, 48268
615, 48195
616, 48190
617, 48201
618, 48221
619, 48151
620, 48154
621, 48154
622, 48178
623, 48150
624, 48158
625, 48134
626, 48163
627, 48189
628, 48284
629, 48224
630, 48165
631, 48212
632, 48213
633, 48196
634, 48179
635, 48202
636, 48226
637, 48154
638, 48118
639, 48156
640, 48174
641, 48262
642, 48262
643, 48253
644, 48174
645, 48154
646, 48178
647, 48183
648, 48179
649, 48165
650, 48178
651, 48243
652, 48170
653, 48145
654, 48207
655, 48249
656, 48143
657, 48188
658, 48126
659, 48197
660, 48200
661, 48257
662, 48239
663, 48353
664, 48169
665, 48184
666, 48129
667, 48226
668, 48164
669, 48133
670, 48188
671, 48175
672, 48238
673, 48136
674, 48244
675, 48170
676, 48244
677, 48122
678, 48179
679, 48122
680, 48294
681, 48140
682, 48185
683, 48181
684, 48243
685, 48173
686, 48214
687, 48158
688, 48184
689, 48236
690, 48125
691, 48193
692, 48165
693, 48153
694, 48160
695, 48138
696, 48219
697, 48220
698, 48171
699, 48157
700, 48225
701, 48148
702, 48196
703, 48240
704, 48196
705, 48162
706, 48165
707, 48218
708, 48168
709, 48148
710, 48148
711, 48213
712, 48210
713, 48140
714, 48116
715, 48202
716, 48212
717, 48164
718, 48121
719, 48174
720, 48193
721, 48118
722, 48220
723, 48209
724, 48196
725, 48230
726, 48208
727, 48140
728, 48212
729, 48189
730, 48192
731, 48177
732, 48139
733, 48196
734, 48127
735, 48262
736, 48178
737, 48214
738, 48218
739, 48146
740, 48140
741, 48144
742, 48168
743, 48139
744, 48148
745, 48122
746, 48163
747, 48162
748, 48229
749, 48179
750, 48219
751, 48192
752, 48227
753, 48161
754, 48241
755, 48223
756, 48136
757, 48213
758, 48191
759, 48196
760, 48138
761, 48206
762, 48142
763, 48235
764, 48140
765, 48161
766, 48203
767, 48131
768, 48311
769, 48156
770, 48236
771, 48134
772, 48155
773, 48156
774, 48152
775, 48172
776, 48148
777, 48275
778, 48156
779, 48174
780, 48155
781, 48161
782, 48147
783, 48244
784, 48122
785, 48257
786, 48174
787, 48172
788, 48204
789, 48138
790, 48206
791, 48142
792, 48150
793, 48172
794, 48234
795, 48178
796, 48180
797, 48162
798, 48298
