M3, ADC
0, 48310
1, 48234
2, 48183
3, 48250
4, 48193
5, 48186
6, 48176
7, 48174
8, 48163
9, 48310
10, 48229
11, 48181
12, 48124
13, 48144
14, 48173
15, 48280
16, 48287
17, 48188
18, 48211
19, 48172
20, 48289
21, 48242
22, 48237
23, 48167
24, 48243
25, 48213
26, 48214
27, 48176
28, 48168
29, 48161
30, 48171
31, 48196
32, 48247
33, 48173
34, 48220
35, 48311
36, 48245
37, 48165
38, 48251
39, 48252
40, 48262
41, 48172
42, 48154
43, 48162
44, 48197
45, 48191
46, 48253
47, 48229
48, 48238
49, 48170
50, 48163
51, 48165
52, 48233
53, 48293
54, 48146
55, 48121
56, 48152
57, 48198
58, 48167
59, 48144
60, 48154
61, 48224
62, 48147
63, 48181
64, 48185
65, 48252
66, 48237
67, 48282
68, 48172
69, 48198
70, 48186
71, 48222
72, 48130
73, 48177
74, 48182
75, 48246
76, 48168
77, 48179
78, 48140
79, 48198
80, 48157
81, 48275
82, 48177
83, 48145
84, 48157
85, 48242
86, 48137
87, 48158
88, 48222
89, 48187
90, 48169
91, 48188
92, 48217
93, 48213
94, 48137
95, 48228
96, 48207
97, 48212
98, 48173
99, 48172
100, 48126
101, 48175
102, 48148
103, 48140
104, 48255
105, 48344
106, 48194
107, 48220
108, 48218
109, 48249
110, 48153
111, 48268
112, 48183
113, 48194
114, 48216
115, 48149
116, 48157
117, 48221
118, 48132
119, 48190
120, 48170
121, 48179
122, 48263
123, 48195
124, 48181
125, 48200
126, 48229
127, 48161
128, 48234
129, 48195
130, 48134
131, 48204
132, 48193
133, 48218
134, 48130
135, 48198
136, 48240
137, 48180
138, 48232
139, 48221
140, 48206
141, 48142
142, 48153
143, 48197
144, 48140
145, 48137
146, 48210
147, 48242
148, 48186
149, 48152
150, 48253
151, 48167
152, 48178
153, 48270
154, 48169
155, 48111
156, 48179
157, 48151
158, 48192
159, 48181
160, 48221
161, 48252
162, 48150
163, 48238
164, 48172
165, 48214
166, 48200
167, 48171
168, 48214
169, 48164
170, 48200
171, 48154
172, 48172
173, 48124
174, 48140
175, 48155
176, 48151
177, 48173
178, 48256
179, 48187
180, 48172
181, 48162
182, 48153
183, 48186
184, 48246
185, 48202
186, 48173
187, 48228
188, 48212
189, 48206
190, 48218
191, 48209
192, 48208
193, 48221
194, 48145
195, 48234
196, 48282
197, 48173
198, 48173
199, 48210
200, 48136
201, 48156
202, 48261
203, 48106
204, 48154
205, 48150
206, 48126
207, 48181
208, 48193
209, 48152
210, 48172
211, 48163
212, 48131
213, 48263
214, 48229
215, 48133
216, 48217
217, 48213
218, 48139
219, 48228
220, 48183
221, 48222
222, 48164
223, 48145
224, 48132
225, 48126
226, 48215
227, 48285
228, 48242
229, 48148
230, 48209
231, 48126
232, 48227
233, 48162
234, 48147
235, 48181
236, 48289
237, 48257
238, 48241
239, 48151
240, 48159
241, 48190
242, 48262
243, 48169
244, 48202
245, 48184
246, 48126
247, 48215
248, 48176
249, 48190
250, 48182
251, 48257
252, 48168
253, 48267
254, 48180
255, 48162
256, 48146
257, 48228
258, 48209
259, 48188
260, 48156
261, 48196
262, 48205
263, 48216
264, 48194
265, 48221
266, 48212
267, 48173
268, 48178
269, 48160
270, 48155
271, 48165
272, 48194
273, 48185
274, 48174
275, 48118
276, 48172
277, 48138
278, 48172
279, 48249
280, 48182
281, 48109
282, 48171
283, 48140
284, 48211
285, 48262
286, 48175
287, 48265
288, 48286
289, 48169
290, 48149
291, 48179
292, 48130
293, 48210
294, 48178
295, 48174
296, 48220
297, 48319
298, 48115
299, 48147
300, 48134
301, 48198
302, 48246
303, 48157
304, 48120
305, 48235
306, 48142
307, 48185
308, 48210
309, 48157
310, 48109
311, 48179
312, 48195
313, 48127
314, 48173
315, 48159
316, 48146
317, 48138
318, 48119
319, 48161
320, 48141
321, 48217
322, 48209
323, 48179
324, 48267
325, 48214
326, 48191
327, 48182
328, 48173
329, 48206
330, 48193
331, 48180
332, 48161
333, 48234
334, 48206
335, 48217
336, 48128
337, 48132
338, 48135
339, 48156
340, 48267
341, 48196
342, 48121
343, 48170
344, 48161
345, 48186
346, 48239
347, 48158
348, 48143
349, 48208
350, 48143
351, 48146
352, 48176
353, 48277
354, 48166
355, 48154
356, 48133
357, 48186
358, 48157
359, 48226
360, 48134
361, 48169
362, 48227
363, 48161
364, 48176
365, 48165
366, 48249
367, 48248
368, 48229
369, 48195
370, 48179
371, 48261
372, 48137
373, 48147
374, 48134
375, 48257
376, 48205
377, 48191
378, 48215
379, 48187
380, 48126
381, 48162
382, 48254
383, 48160
384, 48290
385, 48184
386, 48161
387, 48217
388, 48165
389, 48128
390, 48159
391, 48136
392, 48161
393, 48147
394, 48181
395, 48225
396, 48134
397, 48182
398, 48207
399, 48173
400, 48243
401, 48173
402, 48297
403, 48171
404, 48273
405, 48191
406, 48154
407, 48139
408, 48155
409, 48213
410, 48134
411, 48212
412, 48122
413, 48224
414, 48203
415, 48184
416, 48238
417, 48136
418, 48110
419, 48244
420, 48175
421, 48207
422, 48151
423, 48173
424, 48138
425, 48212
426, 48210
427, 48128
428, 48127
429, 48134
430, 48185
431, 48238
432, 48177
433, 48180
434, 48181
435, 48186
436, 48189
437, 48137
438, 48218
439, 48203
440, 48132
441, 48140
442, 48173
443, 48196
444, 48156
445, 48184
446, 48157
447, 48150
448, 48203
449, 48172
450, 48163
451, 48162
452, 48175
453, 48250
454, 48220
455, 48151
456, 48161
457, 48154
458, 48113
459, 48122
460, 48118
461, 48133
462, 48160
463, 48136
464, 48275
465, 48247
466, 48236
467, 48184
468, 48221
469, 48160
470, 48128
471, 48170
472, 48143
473, 48178
474, 48130
475, 48157
476, 48175
477, 48151
478, 48149
479, 48235
480, 48286
481, 48198
482, 48169
483, 48203
484, 48142
485, 48147
486, 48201
487, 48126
488, 48208
489, 48203
490, 48222
491, 48229
492, 48202
493, 48190
494, 48191
495, 48140
496, 48192
497, 48146
498, 48196
499, 48200
500, 48145
501, 48237
502, 48251
503, 48185
504, 48208
505, 48130
506, 48215
507, 48171
508, 48200
509, 48163
510, 48179
511, 48168
512, 48174
513, 48219
514, 48287
515, 48241
516, 48180
517, 48152
518, 48157
519, 48172
520, 48167
521, 48190
522, 48169
523, 48198
524, 48205
525, 48244
526, 48152
527, 48239
528, 48142
529, 48132
530, 48119
531, 48161
532, 48326
533, 48182
534, 48112
535, 48194
536, 48163
537, 48210
538, 48181
539, 48157
540, 48142
541, 48235
542, 48155
543, 48126
544, 48125
545, 48200
546, 48197
547, 48186
548, 48114
